Nr sklepu;WBS;Wykonawca ;Supervisior ; Backlog USD ; Backlog PLN ; Cabinets ;Zafakturowane;Dokumenty z demontaæu;Potwierdzony backlog z finansami;Demontaæ;Start montaæu - dostawa listy zmiennej i mebli;Miesiac montaæu;Miesi•c fakturowania;Numer SO;Stan;Nr projektu;Miasto dostawy;Ulica dostawy;Nr sklepu;Region;Kod pocztowy;Typ czynnika;Drzwi;Data montaæu drzwi;Data otwarcia sklepu;WydajnoòÜ gascoolera;Uwagi;TOTAL Cabinates;Regaày  nabiaà /ow;Regaày na mi©so;Regaày na ciasto;Plug-in;Komory;Lady ,stoày szafy;Bok prawy;Bok lewy;Regaày 3,75;Regaày 2,50;Regaày 1,25;Regaày inne;Regaày regenerowane 3,75;Regaày regenerowane 2,50;Regaàna ciasto systemowy ;Regaà na p•czek neutralny;Regaà na ciasto GTB CAKE 695;Regaà na ciasto GTB CAKE 1350;Zamraæarki FRICON 2500;Zamraæarki FRICON 1940;FRICON COMBI UDP zamraæarka;FRICON COMBI UDP chàodziarka;Zamraæarki ARAN;Chàodziarki ARAN;Szczyt¢wki zamraæarki;Szczyt¢wki chàodziarki;Zamraæarki regenerowane ARAN;Chàodziarki regenerowane ARAN;Szczyt¢wki regenerowane zamraæarki XTREEM;Szczyt¢wki regenerowane chàodziarkii XTREEM;Lady;Stoày;Szafy chàodnicze;Szafy mro´nicze;Komory              ( miejsca paletowe  )    chàodnia ;Komory              ( miejsca paletowe  )    mro´nia;Uwagi mro´nia;Agregat MINI CCP;QiuetCool QC MT;Komora na odpadki Mawi;Lod¢wka na socjal Gorenje;Lista podstawowa SAP;Chàodnice, Gascooler, agregat;Lista dodatkowa SAP;Na podstawie layoutu zaakceptowanego
2072;PLT01-00-222072;KASZUBA;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;x;x;;01.02.2022;21;Marzec;Kwiecie‰;5828;remont;2072;Praszka;ul. Piàsudskiego 7;2072;S;46-320;CO2;AIFO ren;26.03.2022;02.04.2022;;brak gas coolera od Narsa ;11;8+3;0+2;GTB 1350;7 ren+1 ren +3 +1;10 + 6;;1;;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
1507;PLT01-00-221507;COOL-CONTROL;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;08.02.2022;21;Marzec;Kwiecie‰;5832;remont;1507;Radzy‰ Podlaski;ul. Lubelska;1507;LUB;21-300;CO2;AIFO ren;28.03.2022;31.03.2022;;brak gas coolera ok ;11;7+4;0+1;GTB 1350;9 ren + 1 ren +4 + 1;10+8;lada, st¢à, szafa;1;;;;;;;;;;;;;;;;;;4;1;9;1;;;;;;;;;;;;;;;;;
3017;PLT01-00-223017;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;08.02.2022;27;Marzec;Kwiecie‰;5827;remont;3017;Pabianice;ul. Piotra Skargi 78;3017;S;95-200;CO2;AIFO;02.04.2022;07.04.2022;;ok. wymiana p¢zniej gascoolera -stary bez wydajnosci 35KW! WYMIENIONY 27.04.2022;11;7+3;0+2;GTB 1350;7 ren+1 ren +3 +1;7+8;;;1;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
4517;PLT01-00-224517;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;x;x;;08.02.2022;27;Marzec;Kwiecie‰;5830;remont;4517;Przedb¢rz ;Trytwa 6;4517;S;97-570;CO2;AIFO;01.04.2022;07.04.2022;;ok. wymiana p¢zniej gascoolera -stary bez wydajnosci 35KW! WYMIENIONY 28.04.2022;11;7+3;0+1;GTB 1350;7 ren+1 ren +3 +1;9+6;lada, st¢à, szafa;;1;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
4919;PLT01-00-224919;IT 2;R. Jeziorski ;180 000 USD;700 200,00 zà; 12,00    ;x;x;;22.02.2022;28;Marzec;Kwiecie‰;5822;remont;4919;ùa‰cut;Koòciuszki 19;4919;T;;CO2;AIFO ren;01.04.2022;07.04.2022;;ok. wymiana p¢zniej gascoolera -stary bez wydajnosci  WYMIENIONE 06.05.2022;11;6+5;0+2;GTB 1350;6+1+FRICON 1700 +3+1;;;;1;;;;;;;;;;;;;;;;;3;1;6;1;;;;;;;;;;;;;;;;;
4545;PLT01-00-224545;FRIWEN;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;x;x;;22.02.2022;28;Marzec;Kwiecie‰;7363;remont;4545;Maszewo;ul. Lipnowska;4545;M;;CO2;AIFO ;02.04.2022;07.04.2022;;ok. wymiana p¢zniej gascoolera -stary bez wydajnosci WYMIENIONY 04.05.2022;11;6+4;0+1;GTB 1350;7 ren+1 ren +3 +1;10+12;lada, st¢à, szafa;;1;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
1239;PLT01-00-221239;KLIMORS;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;x;x;;11.02.2022;31;Marzec;Kwiecie‰;5831;remont;1239;ù¢d´ ;ul. Bartoka 20;1239;S;92-547;CO2;AIFO;02.04.2022;07.04.2022;;LU-VE z Frioarte;11;7+3;0+2;GTB 1350;NARS;;;;1;;;;;;;;;;;;;;;6;;2;;5;1;;1;;;;;;;;;;;;;;;
6941;PLT01-00-226941;FRIWEN;R. Jeziorski ;107 969 USD;420 000,00 zà; 6,00    ;x;;;n/d;4;Kwiecie‰;Kwiecie‰;7422;EF;6941;Garbatka Letnisko;ul. Kochanowskiego 3;6941;LUB;26-930;CO2;AIFO;07.04.2022;14.04.2022;;uruchomienie w dodatkowym terminie;6;6;;GTB 695;4 x FRICON 2500+ 2 x FRICON 1900;4;lada, st¢à, szafa;1;;6;;;;;;;;1;;4;2;;;0;0;0;0;;;;;2;1;1;2;4;;;;2;1;1;;;;
4765;PLT01-00-224765;ROS-ZAK;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;x;x;;01.03.2022;4;Kwiecie‰;Kwiecie‰;7393;remont;4765;Gr¢jec;ul. Armii Krajowej 50B;4765;M;05-600;CO2;AIFO ;08.04.2022;14.04.2022;;gascooler z Szawjcarji nowy ok 07 kwitnia dojedzie na budowe ;10;6+4;0+1;GTB 1350;;;lada, st¢à, szafa;;1;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
4380;PLT01-00-224380;IT 2;R. Jeziorski ;180 000 USD;700 200,00 zà; 11,00    ;x;x;;02.03.2022;4;Kwiecie‰;Kwiecie‰;7374;remont;4380;ùomianki;ul. Warszawska 150;4380;M;05-600;CO2;AIFO ;08.04.2022;14.04.2022;;LU-VE z Frioarte;10;5+5;0+1;GTB 1350;7 ren+1 ren +3 +1;8+6;lada, st¢à, szafa;1;;;;;;;;;;;;;;;;;;3;1;7;1;;;;;;;;;;;;;;;;;
